title,summary,tags,filename,lastModified
How to make a speech,# How to make a speech --- # Select a topic --- # Use Framework --- ## PREP - Position - Reason - Example - Position --- ## Golden Circle ![Golden Circle](golden-circle.png),,How to make a speech.md,2026-03-14T04:09:40
How to make a speech,,,How to make a speech.pptx,2026-03-14T04:09:40
Hybrid Meetingのすすめ,# Hybrid Meetingのすすめ 田中 真幸 --- ## Hybrid Meetingとは zoom等のオンライン会議システムを利用して、会場とオンラインをつないで例会をおこなう方法 --- ## ネットワークのスペックと消費量 ネットワークの要件は[こちら](https://zoom-support.nissho-ele.co.jp/hc/ja/articles/36000466759,,Hybrid Meetingのすすめ.md,2026-03-14T04:09:40
"Kashiwa TMC Table Topics on May 30, 2020","# Kashiwa TMC Table Topics on May 30, 2020 The theme is AI and ethics ## 1. The trolley problem Please refer this article [The trolley dilemma: would you kill one person to save five?](https://theconv",,"Kashiwa TMC Table Topics on May 30, 20.md",2026-03-14T04:09:40
Pathways Level 3 Project: Focus on Positive,"# Pathways Level 3 Project: Focus on Positive ## Purpose: The purpose of this project is for the member to practice being aware of his or her thoughts and feelings, as well as the impact of his or her",,LetItGo.md,2026-03-14T04:09:40
Moving to Online,"# Moving to Online --- ## Why we need to go to online? Because of COVID 19. But, why not take this situation as a chance to be familiarized with new technology? It will open the door to the new world!",,MovingToOnline.md,2026-03-14T04:09:40
MovingToOnline,,,MovingToOnline.pptx,2026-03-14T04:09:40
My Instruction Manual,,,My Instruction Manual.pdf,2026-03-14T04:09:40
My,My Instruction Manual Pathways Innovative Planning Level3 Know your sense of humor project This project focuses on understanding what makes you laugh and how to share that with an audience. What do yo,,My Instruction Manual.pptx,2026-03-14T04:09:40
この物語はフィクションです。登場する人物・団体・名称等は架空であり、実在のものとは関係ありません。,この物語はフィクションです。登場する人物・団体・名称等は架空であり、実在のものとは関係ありません。 今朝 13 日前 ココに注目！ ※ フィクションです 12 日前 7 日前 昨日 第壱 話 夏休み、 症候群 EPISODE: １ Unknown Formula 見知らぬ公式 NEON GENESIS TOASTMASTERS 次回 でも、やっぱり準備は大事,,Neon Genesis Toastmasters.pptx,2026-03-14T04:09:40
Pathways Dynamic Leadership Level 5,# Pathways Dynamic Leadership Level 5 ## Reflect On Your Path ### Purpose The purpose of this project is to reflect on your growth during the completion of an entire path. ### Overview At a club meeti,,Non-Dynamic Leadership.md,2026-03-14T04:09:40
Operation Ameno Iwato,"Operation Ameno Iwato Project Effective Coaching #1-2 - Evaluation and Feedback - 1 5:00-7:00 min The purpose of this project is for the member to present a speech on any topic, receive feedback, and",,Operation Ameno Iwato.docx,2026-03-14T04:09:40
Operation Ameno Iwato,"# Operation Ameno Iwato ## Project - Effective Coaching #1-2 - Evaluation and Feedback - 1 - 5:00-7:00 min - The purpose of this project is for the member to present a speech on any topic, receive fee",,Operation Ameno Iwato.md,2026-03-14T04:09:40
Pathways セミナー@千代田トーストマスターズクラブ,Pathways セミナー@千代田トーストマスターズクラブ 【日時】2020-4-30 21:00【企画】徳永幹 Miki Tokunaga【講師】田中真幸 Masayuki Tanaka アジェンダ Pathwaysってなに？ ～TMCが提供するweb教育プログラム どのPathを選べば良いの？ ～11のPathを知ることから どうやって始めるの？ ～まずは国際本部にログイン Pathをスタート,,Pathways セミナーat千代田トーストマスターズクラブ.docx,2026-03-14T04:09:40
Pathways セミナー@千代田トーストマスターズクラブ,# Pathways セミナー@千代田トーストマスターズクラブ 【日時】2020-4-30 21:00 【企画】徳永幹 Miki Tokunaga 【講師】田中真幸 Masayuki Tanaka --- # アジェンダ 1. [Pathwaysってなに？](#Pathwaysってなに？) ～TMCが提供するweb教育プログラム 1. [どのPathを選べば良いの？](#どのPathを選べば良いの,,Pathways セミナーat千代田トーストマスターズクラブ.md,2026-03-14T04:09:40
Pessimistic Optimist,# Pessimistic Optimist ## Project Inspire Your Audience ## Purpose Statements - The purpose of this project is for the member to practice writing and delivering a speech that inspires others. - The pu,,Pessimistic Optimist.md,2026-03-14T04:09:40
Title,# Title Project Plan ## Project Innovative Planning Level 3: Present a proposal ## Purpose The purpose of this project is for the member to practice developing and presenting a proposal. ## Time 5-7 m,,Project Plan.md,2026-03-14T04:09:40
Project Plan,,,Project Plan.pptx,2026-03-14T04:09:40
Title,"Title English, Leadership and I Body Introduction At the last meeting, TM Shishido introduced himself that he was a fat boy. In contrast, I was very skinny when I was a boy. It is very difficult for y",,Project1_TheIceBreaker_MasayukiTanaka.docx,2026-03-14T04:09:40
Title,"Title Change Body Childhood Do you know the proverb “塞翁が馬?”, a life is a chain of bad change and good change. My life is also like that. First good change was happened on April 12th, 1977 . That is a",,Project1_TheIceBreaker_MasayukiTanaka_Tsudanuma.docx,2026-03-14T04:09:40
Your stress is your,Your stress is your friend What I s Stress? ▸ noun [mass noun] 1 pressure or tension exerted on a material object 2 a state of mental or emotional strain or tension resulting from adverse or demanding,,Project2_Masayuki Tanaka.pptx,2026-03-14T04:09:40
TMCSpeeches Archive,# TMCSpeeches Archive ## 1. プロジェクト概要 Toastmasters のスピーチ原稿（`.md` / `.txt` / `.pdf` / `.pptx` / `.docx`）を一覧化し、`articles.csv` をデータソースとして Medium 風の読みやすい静的サイトで閲覧するプロジェクトです。 ## 2. サイトの目的 - 原稿の一覧性を高める - タイトル,,README.md,2026-03-14T04:12:13
Read ME First,# Read ME First,,Readme.md,2026-03-14T04:09:40
Short skit at IHD TMC,# Short skit at IHD TMC ## Steve Jobs' 2005 Stanford Commencement Address [Steve Jobs' 2005 Stanford Commencement Address https://www.kiboueigo.com/steve-jobs-2005-stanford-commencement-address?ref=ca,,Short skit at IHD TMC Jun 2020.md,2026-03-14T04:09:40
Title: Basic Income,Title: Basic Income AC Public Relations #4 Speaking Under Fire Objectives: Prepare to talk to persuade a hostile audience to at least consider your positiobn on a controversial issue. Demonstrate sinc,,SpeakingUnderFire.txt,2026-03-14T04:09:40
TimerをZoomのカメラ映像に表示,,,TimerをZoomのカメラ映像に表示.pdf,2026-03-14T04:09:40
Timer,Timer を Zoom のカメラ映像に表示する 用意するもの OBS Studio ここからダウンロードしてインストール https://obsproject.com/ja/download Web ブラウザ タイマーアプリ https://tmtimer.calebgrove.com/ OBS Studio の設定 OBS Studio を起動する Display Capture の設定 OB,,TimerをZoomのカメラ映像に表示.pptx,2026-03-14T04:09:40
?,,,What the client really wants to have.pptx,2026-03-14T04:09:40
Speech Information,# Speech Information ## Project - Connect with Storytelling ## Purpose - The purpose of this project is for the member to practice using a story within a speech or giving a speech that is a story. ##,,You Only Live Twice.md,2026-03-14T04:09:40
エアポート,エアポート おじさん そんな人いる？ 日曜日何しよう？,,エアポートおじさん.pptx,2026-03-14T04:09:40
子供のころの夢は,子供のころの夢は 何でしたか？ それは かないましたか？ プリキュアになれますように 私の場合 スタンフォード大学の教育学・心理学教授のジョン・ D ・クランボルツ教授 米国の一般的な社会人の内で 、 8 歳の時になりたいと考えていた職業に現在就いている人の割合 は わずか 2% に過ぎないということ 、 さらに 、社会的成功を収めた数百人のビジネスパーソンの約 8 割の人が 、 「 自分の現在の,,キャリアドリフト.pptx,2026-03-14T04:09:40
コミュ障PMになる,コミュ障PMになる 2017年2月4日 08:37 90% 業界の偉い人によると、プロジェクトマネージャーの仕事の90%はコミニュケーションなんだそうです。 90%.... どうしてこんなことになってしまったのだろうか？ 人と話すのが苦手だから、コンピュータのプログラマーになったというのに。。。 コンピュータの言葉ならよくわかるだけどなぁー 日本語？ニホンゴワカリマセン、トテモムズカシイデス。 「,,コミュ障PMになる.docx,2026-03-14T04:09:40
テーブルトピックス,テーブルトピックス 俺の・私の○○がこんなに△ △ なわけがない。 ○○でも△ △がしたい！ ○○に△ △を求めるのは 間違 っているだろうか ？,,テーブルトピックス20201119.pptx,2026-03-14T04:09:40
ディベートセッション 柏アドバンストトーストマスターズクラブ,# ディベートセッション 柏アドバンストトーストマスターズクラブ ## （一般的な）ディベートの進め方 参考 [How to Debate?](http://nade.jp/material/beginners/howto) > ディベートの試合は、肯定側の選手・否定側の選手と、試合の勝敗を決めるジャッジ（審判）の３者から成り立ちます。 > ディベートの試合において、選手の最大の目的は、議論を通じ,,ディベートセッション 柏アドバンストトーストマスターズクラブ.md,2026-03-14T04:09:40
Event Name,# Event Name Toastmasters 100 いいクラブとは何か？ World Cafe # 定員 100 テーマ： トーストマスターズ・カフェ（仮名） 〜あなたのクラブでは自然に友達を誘いたくなる例会をしていますか？〜 R1：あなたがゲストとして初めてTM例会に参加した時に印象的だったことはなんですか？ また、あなたがTMに参加を決めた出来事は何だったのですか？ R２：あなたはどん,,トーストマスターズカフェ.md,2026-03-14T04:09:40
田中のほとんどはトーストマスターズでできている,"田中のほとんどはトーストマスターズでできている ! Tanaka is Made in Toastmasters Masayuki Tanaka 2016 Joined Ichikawa TMC 2017 President, Ichikawa TMC 2020 Area Director, Area 42 DivD Joined Tsudanuma TMC Joined Makuhari Bay",,メイドイントーストマスターズ.pptx,2026-03-14T04:09:40
田中のほとんどはトーストマスターズでできている,"田中のほとんどはトーストマスターズでできている ! Tanaka is Made in Toastmasters Masayuki Tanaka 2016 Joined Ichikawa TMC 2017 President, Ichikawa TMC 2020 Area Director, Area 42 DivD Joined Tsudanuma TMC Joined Makuhari Bay",,メイドイントーストマスターズ_Eng.pptx,2026-03-14T04:09:40
メイド,メイド ・ イン ・ トーストマスターズ Vol.2 in New! 設立中クラブ 印西トーストマスターズクラブ 柏アドバンストトーストマスターズクラブ 谷津トーストマスターズクラブ 田中のほとんどはトーストマスターズでできている ! Tanaka is Made in Toastmasters Division D Director Masayuki Tanaka なぜこうなった？ このクラブに,,メイドイントーストマスターズv2.pptx,2026-03-14T04:09:40
冴えないAIの育て方,"# 冴えないAIの育て方 ![Cover](https://cs1.anime.dmkt-sp.jp/anime_kv/img/22/36/2/22362_1_1.png?1551420528000) --- ## Project - Pathways ""Innovative Planning"" Level 3 - 効果的な視覚資料の作成 - 目的 - このプロジェクトの目標は、スピーチ中にさまざ",,冴えないAIの育て方.md,2026-03-14T04:09:40
冴えないAIの育て方,,,冴えないAIの育て方.pptx,2026-03-14T04:09:40
ただのクラブに興味はありません。,ただのクラブに興味はありません。 女 装、 コ スプレ、 葬 式 OK なクラブがあったら あったら？ あった！！ 俺のトーストマスターズクラブが こんなにたくさんあるわけがない,,田中マサユキの憂鬱.pptx,2026-03-14T04:09:40
